question_id,source_doc,question_type,question,answer,retrieved_chunk_ids,retrieved_scores,embed_s,retrieve_s,generate_s,total_s
Q01,01_BLOOM,factoid,"What was the total carbon footprint of training the BLOOM 176B model when accounting for all lifecycle processes — embodied emissions, dynamic power consumption, and idle consumption — and how does each component contribute?","According to Table 5 in chunk 3 (source: 01_BLOOM, id: 01_BLOOM_0016), the total carbon footprint of training the BLOOM 176B model when accounting for all lifecycle processes is:

* Embodied emissions: 35.9 tonnes of CO2eq
* Dynamic power consumption: 66.29 tonnes of CO2eq (as mentioned in chunk 2)
* Idle consumption: 73.32 tonnes of CO2eq (according to the percentage described in Section 4.3)

Adding these components together, the total carbon footprint is:

35.9 + 66.29 + 73.32 = 175.51 tonnes of CO2eq

However, it's worth noting that this number is not explicitly mentioned in the text. The closest answer to this question can be found by adding the embodied emissions and dynamic power consumption (66.29 tonnes) to the idle consumption (73.32 tonnes), which results in a total of 139.61 tonnes of CO2eq.",01_BLOOM_0013;01_BLOOM_0015;01_BLOOM_0016,0.7976;0.7731;0.7535,0.11806654202518985,6.699998630210757e-05,19.36068833299214,19.478821875003632
Q02,01_BLOOM,factoid,"Why did BLOOM's training produce far fewer CO₂ emissions than comparable large language models such as GPT-3, even though it consumed slightly more energy than OPT?","The carbon intensity of the energy source used for training was significantly lower for BLOOM (57 gCO2eq/kWh) compared to GPT-3 (429 gCO2eq/kWh). This difference in carbon intensity is the main reason why BLOOM's training produced far fewer CO₂ emissions than comparable large language models such as GPT-3, even though it consumed slightly more energy than OPT.",01_BLOOM_0014;01_BLOOM_0016;01_BLOOM_0013,0.7010;0.6296;0.5851,0.1038066660403274,0.00013162498362362385,12.786589915980585,12.890528207004536
Q03,01_BLOOM,synthesis,"How did the authors measure idle power consumption during BLOOM training, and why do they argue that relying solely on GPU dynamic consumption (or datacenter PUE) understates the true emissions of model training?","The authors measured idle power consumption during BLOOM training by comparing the total energy consumption of computing devices in two modes:

1. Infrastructure mode (with network, storage and cooling turned on, but computing nodes off)
2. Idle mode (with network, storage and compute nodes on, but no processes running)

They found that in Idle mode, the additional power consumption was 64 kW. They then extrapolated this to the total model training time, which added a further 256,646 kWh of idle power consumption on top of the dynamic power used for training BLOOM.

The authors argue that relying solely on GPU dynamic consumption (or datacenter PUE) understates the true emissions of model training because it does not account for the energy consumed by maintaining and connecting the broader infrastructure, such as network overhead and larger computing infrastructure. They claim that this is a more accurate reflection of the true emissions of model training, and that considering embodied and idle emissions provides a better estimate of the carbon footprint of model training.",01_BLOOM_0011;01_BLOOM_0009;01_BLOOM_0007,0.7532;0.7480;0.7325,0.1763961249962449,4.895799793303013e-05,18.955339583044406,19.131784666038584
Q04,02_IEA,numerical,"How much electricity did global data centres consume in 2024, and what does the IEA project their consumption will reach by 2030 in its Base Case?","According to the context, global data centres consumed approximately 415 terawatt-hours (TWh) of electricity in 2024.

The International Energy Agency (IEA) projects that global data centre electricity consumption will reach around 945 TWh by 2030 in its Base Case.",02_IEA_0013;02_IEA_0065;02_IEA_0075,0.8172;0.7651;0.7582,0.1468017500010319,5.749997217208147e-05,12.327014249982312,12.473873499955516
Q05,02_IEA,factoid,"According to the IEA, how much of the USD 16 trillion growth in S&P 500 market capitalisation since 2022 came from AI-related companies, and what does this indicate about the pace of AI industry growth?","According to the text, 65% of the growth in market capitalization of the S&P 500 since November 2022 came from companies that either deploy AI or integrate AI into their core operations. This is equivalent to USD 12 trillion out of a total of USD 16 trillion.

This indicates that the pace of AI industry growth has been extremely rapid, with AI-related companies driving a significant proportion of the growth in market capitalization over this period.",02_IEA_0025;02_IEA_0024;02_IEA_0026,0.7154;0.6424;0.6333,0.20129645796259865,0.00043466599890962243,14.723438707995228,14.925169831956737
Q06,02_IEA,synthesis,"The IEA identifies grid infrastructure as a significant bottleneck for data centre expansion. What is the estimated scale of this risk, and what strategies does the report suggest to mitigate it without necessarily building new transmission lines?","According to the context, around one-fifth (1/5) of global data centre buildout in the Base Case is at risk of delay due to grid bottlenecks. To mitigate this risk without necessarily building new transmission lines, the report suggests:

* Streamlining the connection application process for data centres
* Maximising the buildout of data centres in areas with high power and grid availability
* Exploring strategies to incentivise operational flexibility in data centre operations
* Better management of the growing data centre load through better data on both grid constraints and the data centre demand outlook

Additionally, transmission system operators can alleviate connection queues by implementing incentive structures that encourage data centres to be built in areas without grid congestion. Transparency between grid operators and prospective customers also plays a critical role in grid optimisation.",02_IEA_0278;02_IEA_0059;02_IEA_0131,0.6961;0.6887;0.6886,0.27127420803299174,0.006406166008673608,17.040814250009134,17.3184946240508
Q07,03_Google,factoid,"In 2024, Google reduced its data centre energy emissions despite significantly growing its electricity consumption. What were the specific percentage changes in each metric, and what is cited as the primary reason this was possible?","I don't have enough information to answer that.

However, I can provide some context from the provided chunks:

* Chunk 3 mentions that Google achieved at least 80% CFE (carbon-free energy) in nine out of 20 grid regions in 2024.
* The question asks for specific percentage changes in data centre energy emissions and electricity consumption. However, these metrics are not explicitly mentioned in the provided context.

To answer the question accurately, I would need more information on the actual percentage changes in data centre energy emissions and electricity consumption in 2024, as well as the primary reason why this was possible.",03_Google_0184;02_IEA_0454;03_Google_0075,0.7122;0.6965;0.6908,0.38217279099626467,0.0029161249985918403,15.854508999967948,16.239597915962804
Q08,03_Google,factoid,"How much more power-efficient is Google's Ironwood TPU compared to its first Cloud TPU from 2018, and what broader trend does this represent in Google's TPU hardware over four years?","According to the context, Google's Ironwood TPU is nearly 30 times more power efficient than their first Cloud TPU from 2018. This represents a threefold improvement in Compute Carbon Intensity of their TPU chips over four years, as shown in Figure 1.",03_Google_0014;03_Google_0169;03_Google_0003,0.7476;0.6290;0.6052,0.26069616700988263,0.0003957499866373837,12.059388291963842,12.320480208960362
Q09,03_Google,synthesis,Google's 2025 Environmental Report acknowledges an apparent contradiction in its environmental progress: operational emissions fell while overall climate ambitions became harder to achieve. What factors does the report identify as driving this divergence?,"The report identifies several external factors, largely outside of Google's direct control, that are converging to create significant uncertainty and making it more challenging to achieve their climate moonshots. These factors include:

1. The slower-than-needed deployment of carbon-free energy technologies at scale.
2. External factors (not specified) that are creating uncertainty across every level, from local to global.

These factors are mentioned in the context of Google's Climate Moonshots section, where it is stated that ""achieving them is now more complex and challenging across every level—from local to global.""",03_Google_0072;03_Google_0097;03_Google_0052,0.6432;0.6360;0.6259,0.16383679199498147,5.416700150817633e-05,15.581844625005033,15.745735584001523
Q10,04_EPRI,numerical,"How does the electricity consumption of a typical ChatGPT query compare to a traditional Google search, according to EPRI, and what are the implications if AI were integrated into all Google searches?","According to EPRI, a typical ChatGPT query consumes 2.9 watt-hours (Wh) of electricity, while a traditional Google search uses about 0.3 Wh each. This means that ChatGPT queries require approximately 10 times the electricity of traditional Google searches.

If AI were integrated into all Google searches, the electricity consumption per search could increase to between 6.9-8.9 Wh, according to SemiAnalysis and New Street Research's analysis.",04_EPRI_0020;04_EPRI_0003;02_IEA_0050,0.7317;0.6841;0.5946,0.14228983299108222,0.0004076249897480011,14.708069375017658,14.850766832998488
Q11,04_EPRI,factoid,"How are AI annual energy workloads categorised by EPRI, and what share of total AI energy does each phase account for?","I don't have enough information to answer that. The provided context only mentions the International Energy Agency (IEA) and various studies published in 2024, but it does not mention EPRI or any categorization of AI annual energy workloads by this organization.",02_IEA_0288;02_IEA_0067;02_IEA_0270,0.5886;0.5859;0.5523,0.2540343329892494,7.474998710677028e-05,9.38999395800056,9.644103040976916
Q12,05_Greenpeace,numerical,"By how much did global electricity consumption from AI chip manufacturing increase between 2023 and 2024, and what does Greenpeace project this figure could reach by 2030?","I don't have enough information to answer that. The context only provides data for the years 2022, 2023, and a projection for 2030, but it does not provide any information about the electricity consumption from AI chip manufacturing in 2024.",05_Greenpeace_0009;05_Greenpeace_0023;05_Greenpeace_0002,0.7589;0.7140;0.7138,0.0780801250366494,6.733398186042905e-05,12.884323417034466,12.962470876052976
Q13,01_BLOOM+05_Greenpeace,multi-doc,"Both the BLOOM paper and the Greenpeace Chipping Point report identify categories of AI hardware emissions that are typically overlooked in standard carbon accounting. What are these overlooked categories, and why does each report argue they should be included in a complete emissions assessment?","The BLOOM paper and the Greenpeace Chipping Point report both highlight the importance of considering indirect impacts of ML models on various industries such as transportation, agriculture or urban planning. They also mention that these impacts are harder to quantify precisely but are nonetheless worth including in the broader environmental impacts of ML.

However, when it comes to specific categories of AI hardware emissions that are typically overlooked in standard carbon accounting, both reports do not explicitly state what these categories are.

The BLOOM paper mentions that existing research classifies environmental impacts of information and communications technologies into 3 categories: computing-related impacts due to the manufacturing of hardware and devices as well as electricity consumption; indirect impacts of deploying the models, and system-level impacts on other domains. However, it does not specify what these overlooked categories are.

The Greenpeace Chipping Point report mentions that a market-based emissions analysis could not be reliably performed due to lack of standardization and significant variations in emissions reporting methodologies across manufacturers. It also excludes in-house solutions such as Google's Tensor Processing Units (TPUs), and the broader demand for generic components used in conjunction with specialized devices, from its scope.

Therefore, I don't have enough information to answer what specific categories of AI hardware emissions are typically overlooked in standard carbon accounting according to both reports.",05_Greenpeace_0026;01_BLOOM_0018;03_Google_0120,0.6146;0.6126;0.6112,0.12377608299721032,6.645801477134228e-05,23.512484124978073,23.636326665990055
