run_id,timestamp,config_hash,chunk_size,chunk_overlap,embedding_model,n_documents,n_chunks_total,indexing_time_sec,peak_ram_mb,index_size_mb,embedding_time_sec,faiss_build_time_sec,energy_wh,co2_g,notes
20260509T185155Z_6fb92835,2026-05-09T18:51:55+00:00,6fb92835,512,10,sentence-transformers/all-MiniLM-L6-v2,5,754,4.996484665956814,660.455424,1.158189,4.026600125012919,0.0004640829865820706,0.0631579309406354,0.024060013791835057,
20260510T061625Z_bc360218,2026-05-10T06:16:25+00:00,bc360218,256,0,sentence-transformers/all-MiniLM-L6-v2,5,1384,14.195550334001382,849.34656,2.125869,11.848287834000075,0.0009147500004473841,0.17940343566595124,0.06834373881694412,phase_d_exp1
20260510T062430Z_6e091273,2026-05-10T06:24:30+00:00,6e091273,256,10,sentence-transformers/all-MiniLM-L6-v2,5,1464,9.544964250000703,321.20832,2.248749,8.76453975000004,0.0007612919998791767,0.12064174342830435,0.04595847215901254,phase_d_exp1
20260510T063401Z_b2ee97fc,2026-05-10T06:34:01+00:00,b2ee97fc,256,20,sentence-transformers/all-MiniLM-L6-v2,5,1603,11.595829833999233,347.389952,2.462253,10.775657542000772,0.0009595419996912824,0.14656198142432433,0.05583278682359637,phase_d_exp1
20260510T070513Z_a9e9b27f,2026-05-10T07:05:13+00:00,a9e9b27f,512,0,sentence-transformers/all-MiniLM-L6-v2,5,714,4.504517833000136,291.602432,1.096749,3.775179375001244,0.000653375000183587,0.05693708892683136,0.02169018402667641,phase_d_exp1
20260510T071648Z_6fb92835,2026-05-10T07:16:48+00:00,6fb92835,512,10,sentence-transformers/all-MiniLM-L6-v2,5,754,5.387376542998027,289.161216,1.158189,4.62525070799893,0.0006888339994475245,0.06809641734669919,0.025941330188225056,phase_d_exp1
20260510T072911Z_aadb0cb9,2026-05-10T07:29:11+00:00,aadb0cb9,512,20,sentence-transformers/all-MiniLM-L6-v2,5,821,5.723037290999855,337.01888,1.261101,4.944518791000519,0.0008912079993024236,0.07233855724665621,0.02755737338311368,phase_d_exp1
20260510T074019Z_7dffb047,2026-05-10T07:40:19+00:00,7dffb047,1024,0,sentence-transformers/all-MiniLM-L6-v2,5,345,2.8715310000006866,370.802688,0.529965,2.1529154580002796,0.000173166999957175,0.03630048692443754,0.01382867049386448,phase_d_exp1
20260510T075921Z_1fbb3d49,2026-05-10T07:59:21+00:00,1fbb3d49,1024,10,sentence-transformers/all-MiniLM-L6-v2,5,370,3.0676037920002273,359.776256,0.568365,2.341049959000884,0.0001087910004571313,0.038777610003894805,0.014772330530983728,phase_d_exp1
20260510T081902Z_b1843394,2026-05-10T08:19:02+00:00,b1843394,1024,20,sentence-transformers/all-MiniLM-L6-v2,5,400,3.2925989579998713,374.784,0.614445,2.5523696249983914,0.00011020800229744054,0.04162160223643797,0.015855749371971043,phase_d_exp1
20260510T091735Z_aadb0cb9,2026-05-10T09:17:35+00:00,aadb0cb9,512,20,sentence-transformers/all-MiniLM-L6-v2,5,821,10.440075334001449,808.091648,1.261101,9.440362749999622,0.0007427919990732335,0.1319477824890641,0.05026550773920897,phase_d_exp2
20260510T110155Z_d7129fb0,2026-05-10T11:01:55+00:00,d7129fb0,512,20,sentence-transformers/all-mpnet-base-v2,5,821,115.46241400100001,1232.24064,2.522157,112.52940541699999,0.0007439169999940987,1.4590437516888877,0.5558227172058818,phase_d_exp2
20260510T113657Z_aadb0cb9,2026-05-10T11:36:57+00:00,aadb0cb9,512,20,sentence-transformers/all-MiniLM-L6-v2,5,821,5.723037290999855,337.01888,1.261101,4.944518791000519,0.0008912079993024,0.0723385572466562,0.0275573733831136,phase_d_exp3 (reused phase_d_exp1 aadb0cb9 indexing measurements)
20260510T115529Z_aadb0cb9,2026-05-10T11:55:29+00:00,aadb0cb9,512,20,sentence-transformers/all-MiniLM-L6-v2,5,821,5.723037290999855,337.01888,1.261101,4.944518791000519,0.0008912079993024,0.0723385572466562,0.0275573733831136,phase_d_exp3 (reused phase_d_exp1 aadb0cb9 indexing measurements)
20260510T115556Z_aadb0cb9,2026-05-10T11:55:56+00:00,aadb0cb9,512,20,sentence-transformers/all-MiniLM-L6-v2,5,821,5.723037290999855,337.01888,1.261101,4.944518791000519,0.0008912079993024,0.0723385572466562,0.0275573733831136,phase_d_exp3 (reused phase_d_exp1 aadb0cb9 indexing measurements)
